Review
"ribetttt bgt sistem verifikasi transaksinya,, beberapa kali transaksi di batalkan sistem, diklik bantuan malah dilihatkan S&K ketentuan promonya, alasan yg template banget tanpa ada pemberitahuan spesifik ""ini lho pelanggarannya!"" ga jelas banget asli. kaya toko sebelahlahh yg penting ada akun-terverikasi-bayar pake apapun berkali2 dg akun yg sama tak ada masalah. kalo ada yg ribeettt ngapain dibuat gampang, begitukah konsepnya?"
"Sejujurnya saya paling suka belanja di tokopedia.. Tampilan menu yang enak dilihat dan sangat ringan.. Namun semua itu akan sia sia ketika kita belanja namun barang yg kita beli lama datangnya.. Berbeda dengan aplikasi sebelah.. Hanya dengan waktu 2 hari sudah sampai.. Itu saya melakukan percobaan dengan satu toko yang sama dan tujuan rumah saya yang sama.. Tolong untuk tokopedia coba kalian hapus saja kerja sama dengan expedisi expedisi yang lelet, Status perjalanan paket pun tidak update."
"Pakai toped sudah lama, baru akhir2 ini mengecewakan karena kurir rekomendasi yang sangat tidak rekomended. Sekelas toped merekomendasikan expedisi yang lemot, tidak koorperatif, malah ada yg expedisinya tiba2 ganti (pada barang yg sama). Hapus saja kurir rekomendasi yang tidak jelas itu!"
Ga rekomendasi sih. Akun sudah lama dan banyak jejak transaksi nya dan baru kali ini dibilang kalo akunnya tidak sesuai dengan syarat dan ketentuan. Hebat kali wkwkw. Banyak kekurangan nya juga. Salah satunya menghubungi cs nya sulit jawaban nya lama dan tidak mendapatkan solusi yang terbaik dari jawabannya.
"Saya suka belanja di toped Tetapi kurir rekomendasi tidak bisa tepat waktu, padahal kita butuh barangnya cepat, Waktu investigasi kurirnya juga lama. Harus ada penilaian kurir, biar tidak seenaknya, atau dikasih garansi tepat waktu, seperti toko sebelah."
"Toko pedia menurut saya mengalami kemunduran, Krn pesan barang sdh 6 hari belum juga sampai, kalau pun itu dari kurir, tetep bagian dari Tokopedia, menurut saya Tokopedia sekrang parah, sedang menjelajah, liat barang balik lagi mulai lagi dari awal ga berlanjut kebawah, terus kebanyakan seller ga respon, di chat ga bls padahal aktif, jadinya saya mengurungkan buat belanja di tokped, jadinya belanja di aplikasi lain"
"Penanganan nya amat sangat kurang bagus, sudah 1 bulan lebih paket saya hilang dan dana belum di refund dengan nominal lumayan besar, di tanya perkembangan nya tidak jelas mending tutup aja nih aplikasi mengecewakan dari seler nya pun tidak ada kejelasan setiap di tanya menghindar!! Kapok banget pakai tokopedia tidak terpercaya!!"
"Sejak ada kurir rekomendasi tokopedia jadi semakin jelek, tolong dihilangkan saja kurir rekomendasi terutama untuk kurir SAPX tidak usah diajak kerjasama lagi karena 3x saya pesan semuanya terlambat padahal kiriman sama2 satu kota tapi seminggu lebih barang gak nyampe, sampai2 ajuin komplen jd nambah seminggu lagi diprosesnya. Kalau tokopedia terus begini bukan cuma seller yg rugi, pembeli jg makin sepi, dan tokopedia sendiri juga akan banyak ditinggalin pelanggan setianya. Terimakasih"
"Bulan ini sy belanja 2x di tokopedia, barang tidak pernah sampai. Padahal status pengiriman yang 1 status diterima YBS, yg 1nya kurir akan antar ke pembeli tp mpe skrg barang smskli tidak sampai. Uang dan koin tidak kembali ke saya, padahal sdh ajuin komplain tapi ga ad tindak lanjut dr tokopedia. Dari berminggu2 status hanya tunggu konfirmasi kurir."
"Untuk aplikasi udah sangat bagus cuma yang disayangkan kenapa free ongkir harus menggandeng SAPX, jelas-jelas expedisi yang sangat sangat teramat tidak kompeten dalam bidang pengiriman beberapa kali barang saya muter-muter termasuk yang pesanan Sekarang dari tanggal 27 sampai sekarang ga nyampe malah dibawa muter-muter, payah"
"Kurir rekomendasi sangat sangat busuk! Paket tidak sampai dan sy belum terima barangnya tp distatus pengiriman sudah sampai! Bukti foto pengiriman jg tidak failid, masak gambarnya cuma warna putih polos! Msih bagusan toko ORANGE! Auto uninstal"
"Dulu sih pantas bintang 5, sekarang sejak ada kurir recomendasi, malah performa anjlok. Pengiriman ga jalan2, bukan apa2, tp namanya recomendasi itu kurir yg bagus2 bukan yg lelet, ini sih bikin tokped malah jadi buruk, kalah sama aplikasi sebelah. Maaf setelah ini unistall, dahlah."
"Fitur putar otomatis gambar product g berguna. Saya lagi liat photo produk, eh malah ganti ke gambar k dua. Sebaiknya ada setelan utk itu. Toped lebih bisa dipercaya. trus fast respon banget klu kita punya kendala atau masalah dgn seller. saya sering belanja di tokopedia Alhamdulillah selalu memuaskan."
"Keseluruhan nya bagus sihh. Cuma tolong dong fitur pencarian lebih disempurnakan lagi, kadang yg d cari barang apa tp munculnya beda. Udah gitu banyak banget yg jual produk berbau p*rn* di Tokped. Jadi tolong dong pihak Tokped untuk memblokir & menghapus toko2 seperti itu karena sangat mengganggu.... 🙏"
"Saya pengguna baru di toko pedia, mau coba belanja di sini, sudah saya bayar tagihan belanja saya tiba-tiba dibatalkan oleh sistem. Maksudnya gimana ya? Alasannya saya tidak memenuhi kriteria, kalau begitu kenapa tidak dari awal sebelum checkout diberitahukan? Kecewa! Uang yang di refund pun cuma untuk barang bukan ongkir dan biaya penanganan. Tolong lain kali kalau gak niat kasih diskon gak usah main curang, setidaknya customer diberitahukan bukan asal membatalkan."
"aku kasih bintang 4 karna sering dapet promo. tp jengkel banget karna tokped terlalu sebentar ngasih seller waktu buat kirim, ya kali 1x24 jam. sdgkn mereka pas OL mana bs kirim d hri yg sama, otomatis kena pembatalan dr sistem. gak ada opsi buat perpanjang masa garansi untuk d pilih customer. sdgkn promo uda kepake barang gk sampai tp voucher promonya nya gk bisa balik. hadeh!"
"2 kali transaksi gagal, katanya pengguna baru dapat diskon, dipake malah gagal terus.. mana uang aku jadi ngendep disitu... Mau bayar susah kali... Pulsa penuh sinyal kuat... gangguan Mulu ..bikin males belanja disini"
"Sebetulnya belanja di tokped ini enak ada diskonnya,tp kenapa pengirimannya lelet bgt barang saya 3 hari ga bergerak dari jawa tengah,kdang juga tiba2 dibatalkan sistem atau dibatalkan penjual seenak jidat,tolong buang saja itu kurir rekomendasi kalo nyatanya bobrok semua isi ekspedisinya .."
"pengiriman nya cepat tapi kenapa ya kalau dapat voucher potongan harga terus kita sudah bayar suka dibatalkan sistem, pas saya mau beli lagi sudah tidak ada voucher nya tolong dong Tokopedia jangan suka dibatalin. Udah gitu uangnya ke koin yang tidak bisa dipakai ketika mau pakai pembayaran cod."
"Kecewa dengan layanan tokopedia. Tiba-tiba akun saya tidak bisa menggunakan pembayaran dengan saldo GOPAYLATER. Sering sekali terjadi seperti ini, padahal saya tidak pernah telat bayar tagihan. Dan setiap kita komplain ke tokopedia care tidak ada solusi atau pun bantuan. Dm ig ny pun no respon"
"tolong tingkatkan efisiensi sistemnya. jika saya klik menu keranjang dan wishlist, pas klik barang dan setelah selesai lihat, begitu kembali selalu menuju barang paling atas tersimpan. jadi scroll ke bawah lagi, terus gitu berulang. jadinya buang"" tenaga dan waktu. Sudah sampai pada urutan tengah"", kembali lagi ke menu paling atas"
"Saya baru pertama kali belanja di tokped karena buku guru gembul baru ada di tokped kemudian saya tambahkan 2 item lagi biar sekalian, setelah bayar transaksi langsung batal karena saya pakai promo nya. setelah tidak pakai promo nya ternyata bisa pengalaman pertama yang buruk sih 🤣"
"Udah pesan barang selesai pembayaran, tiba tiba di batalkan sistem dengan alasan akun tidak sesuai S&K promo. Padahal ada tulisan promo khusus pengguna baru. Di coba lagi udah gak ada promo gratis ongkirnya."
"Sistem tracking paketnya jelek bgt, barang sdh sampe tp status pengiriman gak berubah, jd percuma ada fitur lacak. Trus slideshow gambar produk itu bener2 unfaedah, mending balikin fitur lama zoom in foto biar pengguna bisa lihat fotonya lebih detail. Tolong diperbaiki ya."
"Tgl 1 juli 2024 malam saya ada transaksi pembelian handphone samsung tetapi dibatalkan oleh sistem,dan di sistem terinfokan bahwa saldo kredivo saya sudah dikembalikan tetapi sampe saat ini saldo kredivo saya belum kembali,bisa dijelaskan oleh tokopedia kah?dan saya juga bingung kenapa dibatalkan sistem???alhamdulillah saya tidak pernah ada masalah dengan piutang,tolong diperbaiki sistemnya dan managementnya"
"Layanan bagus, cuman kalo bisa layanan kurir rekomendasi jangan ikutkan SAPX. Soalnya selalu paket yg dibawa kurir SAPX keterangan paket sampai padahal belum. Kalo udah gitu penyelesaian komplain lama. Akhirnya pembeli yg segera membutuhkan barangnya harus menunggu lagi berhari hari. Saran saya jangan lagi kerjasama dengan SAPX. Kurir yang manipulasi data pengiriman itu udah termasuk pelanggaran berat."
"Tokopedia: * harga barang jauh lebih murah. * banyak promo dan diskon. * banyak pilihan transaksi pembayaran. * cuma 1 yang saya tidak suka. Setiap saya melakukan pembelian, selalu saja di batalkan otomatis oleh sistem tokopedia, sudah saya coba semua metode pembayaran, tampa menggunakan promo, tetep aja di batalkan otomatis sistem. Tolong lebih di tingkatkan lagi sistemnya."
"Fitur chatnya toped bikin ribet, masa gak bisa kirim video! Foto jg gk bisa format gambar selain jpg png. Di ulasan gk bisa kirim video lebih dr 30 detik. Mau komplain ke seller jd susah. Aplikasi sebelah gk kaya gini tuh."
"Saya termasuk pengguna lama toped, kemudian tertarik menggunakan gopaylater.. baru pemakaian 1 kali dengan metode cicilan 3 bulan dan pelunasan tagihan juga tidak pernah terlewat jatuh tempo, setelah lunas dan mau menggunakan paylater lagi ternyata sudah tidak bisa, dikarenakan akun gopaylayer terblokir... Gimana ceritanya??? Bru dipake sekali, cicilan 3 bulan, dan pembayaran tagihan tidak pernah telat , tiba2 terblokir tanpa memberitahukan kenapa bisa terblokir"
"Bgus sihh cma trlalu bnyk biaya tambahannya. Gratis ongkirny jg gk smuanya. Terlalu bnyk biaya jasa, biaya app dsb. Sama kenapa ya di tokped tidak bisa mencari barang dengan foto, pdhl dgn foto lebih efisien mencari produk yang serupa"
"Belanja di sini banyak yg murah sih, apalagi tersedia kupon bonus, dll jd tambah murah, tp ada ada 1 hal yg sangat tidak layak, yaitu jasa pengiriman menggunakan kurir rekomendasi. Beberapa kali beli menggunakan jasa kirim kurir rekomendasi, dan datangnya paket selalu terlambat, status pengiriman juga lama update nya. 3 hari gk ada update status pengiriman.. Mending hilangin aja itu fitur kurir rekomendasi.."
"Perbaiki lagi bisnis proses disistem kalian, saat penjual kirim item kurang, mereka ada yang sengaja ngirim kurang, lalu tidak ada tombol untuk komplen barang kurang setelah sebelumnya sudah komplen barang kurang, bikin pembeli jadi rugi. Satu lagi, tutup juga fitur bikin penjual bisa punya banyak cabang, saya sebagai konsumen milih barang di bandung, sama penjual yang punya banyak cabang malah dikirim dari surabaya.. Parah banget, bagusan si orange.."
"Saya kasi 1 bintang dulu, baru pertama kali coba tokopedia. Pengen daftar affiliate, suruh update google play terus. Padahal google play saya sudah versi terbaru. Tapi bukan hanya ke daftar affiliatenya aja, ke chat cs nya juga gitu, suruh update google play terus. Tolong di perbaiki."
"Jasa kurir rekomend aplikasi pengirimannya sangat lama. Minggu malam belanja dari penjual yg berlokasi di Jakarta untuk kirim ke Palembang dari hari senin sampai hari kamis barangnya muter2 di Jakarta saja. Beda sama dengan lapak orange yang cepat walau gratis ongkir, minggu malam belanja, selasa atau rabu sudah sampai tujuan. Makanya sekarang sdh sangat jarang belanja via tokped kecuali terpaksa."
"Saya member gold tokopedia, sebelumnya saya suka pakai tokopedia karena barang yang saya cari muncul secara akurat, antara keyword dan halaman yang muncul. Sekarang ini sangat berbeda jauh, saya masukkan key word A, yang keluar barang XYZ, ditambah ketumpuk iklan yang g ada ujung, mohon tokped dibetulkan, supaya saya nyaman belanjanya... sementara saya pindah toko dulu ya... terimakasih banyaaak..."
"Saya sebenarnya suka dengan Tokopedia. Tapi pemilihan kurir rekomendasi yang tidak profesional kerjanya sangat merugikan waktu saya. Tolong seleksi kinerja mereka dan biarkan kami memilih kurir mana yang mau dipilih dari daftar rekomendasi kurir. Karena Tokopedia tidak benar2 yang tau kualitas service mereka di tempat kami seperti apa. Terhitung sudah 6-7 kali saya harus ke pusat Resolusi. 1x dimaling ojol, 3-4x pengiriman lewat dari 1 minggu dengan J&T. Belum dihitung proses resolusi 7-21 hari"
"Mantap barang cepat sampai dan kwalitas bagus, cuman cara pembayarannya tidak semua Bank bisa mohon ditambah bisa mengunakan bank Permata karena bebas transfer ke bank manapun dan tidak ada tambahan biaya,bisa melakukan pembayaran lewat M-Banking sangat mudah.Saya tambah bintangnya jadi 5 kalau sdh ada penambahan pembayaran melalui Pernata Bank.Terimakasih."
"Disini tuh sampe ada acara di notifikasi barang sampai, tapi kenyataanya belum, kurirnya recommend tokopedia lagi, belanja aman nyaman apa cuma slogan? ahgrrrr entahlah, mau dukung karya anak bangsa juga jadi males kalau gini."
Untuk keseluruhan bagus semua banyak promo... Tapi monusnya dikendala pengirimannya sya co pertama kali di tgl 28 dan tanggal itu juga dikirim diwaktu malam terus diproses dan nyampek gudang tanggal 29 sampai tanggal 1 ada digudang gak dikirim ke alamat...mohon dipercepat aja pengirimannya
"Gimana kak, pesanan saya blm sampai juga. Ngajuin pembatalan ga bisa. Udh chat tokonya di suruh mengajukan investigasi ekspedisi. Dari pihak tokped ga jelas ngasih solusinya. Tiba"" Pesanan selesai. Tapi saya ga Terima barang dan refund juga. Untungnya nominal barangnya ga terlalu mahal. Aduh klw mahal gimana ini. Cukup sangat kecewa si dgn kejadian ini. Saya jadi ragu buat belanja, apa lagi yg nominalnya lumayan."
"untuk tim tokopedia, saya mau tanya di tokopedia seller kenapa setelah memasukan barang yg mau dikasih harga diskon listnya tidak berurutan sesuai yg mana saya duluan klik, atau adakan fitur sortir harga di halaman pas mau atur harga diskon"
"Fitur pencariannya ga jelas. Yang diketik/dicari apa, yang muncul apa.. tolonglah diperbaiki. Sesuaikan dengan apa yang kita ketik/cari."
"Sebelumnya saya pakai gratis ongkir emang bagus 2-3 hari sampai,tp saya kecewa kali ini karena ternyata gratis ongkir modelnya dilempar dr ekspedisi 1 ke ekspedisi lain istilahnya nitip,dan efeknya paket molor sudah 3 hari belum ada update alias paket stuck tidak ada perubahan,dan sudah hampir 1 minggu total waktu dr mulai checkout.maaf bintang saya kurangi.Jika metode gratis ongkir harus korbanin lama pengiriman,saya pribadi lebih prefer ke toko sebelah yg waktu pengirimannya selalu konsisten."
APK semakin buruk. Akun yg lama ngak bisa di pake. Skg pas punya akun yg baru. ada promo cashback. Eh kena pembatalan terus. Kalo emg tidak ada promo ya jangan di kasih. Mau beli di sebelah ngak bisa karna uang nyangkut dan pencairan nunggu 2 hari. Hadeeh
"Tokopedia CARE nya GA CARE 4 tahun jualan via app ini, belum pernah se-lambat ini proses solusinya. Di diskusi dikatakan komplain diselesaikan dengan pengembalian uang ke saldo pembeli DAN saldo penjual, dan sudah dianggap selesai. Namun ga ada saldo yang masuk, lalu saya ajukan bantuan, dibalas sudah selesai, saya jelaskan lagi bahwa belum ada saldo masuk ke CS Tokopedia[CARE], dan diminta nunggu untuk dipastikan 2 minggu berselang sampai sekarang masih ga ada refund dan informasi apapun 🥱"
"Terlalu lama pembatalan otomatis, tidak bisa diandalkan kalau perlu barang segera. Pesan tanggal 15, pembatalan otomatis nya tanggal 19, kapan sampainya? Lalu untuk kurir pilihan suka pindah pindah, misal dari tracking paket di drop di JNT tahu tahu dipindah ke JNE setelah 4 hari di kota yang sama, baru dikirim ke kota tujuan. Kurang bisa diandalkan, bikin tidak nyaman."
"Tokopedia sejauh ini sudah baik dan kompeten terutama dalam memberikan promo, hanya saja problem utama di kurir rekomendasi mohon tokopedia putus mitra dengan ID Express karena saya kecewa paket pun juga tidak dikirim, Terimakasiih!!"
"Ini ampikasi sebenar pelayanan ada baik dan ada yang buruknya ,baiknya banyak diskon atau bonus peyanan lumayan tapi buruknya aku alami ada 2sementara ini 1,beli barang seharusnya 3dan 4 hari sampai berhubung barang itu dalam perjalan mengalami kerusakan atau pecah bisa bisa sampai setengah bulan sampai terus bisa bisa barang gak bisa di ganti atau di komplinkan 2.misal kamu beli barang gak jadi atau di batalkan oleh sistem dan pembayaran lewat debit online kembali uang itu ya lama banget nunggu"
Sistem e jelek bgt ini.... Beberapa kali Transaksi di batalkan otomatis setelah pembayaran.... Udah capek capek ke alfa/indomart.tiba tiba dibatalkan otomatis... Saldo di kembalikan tapi gk bisa di tarik ataupun di gunakan sebagai layanan... Kampreet... Baru kali ini tokopedia pelayanannya jelek bgt sistem e tolong di perbaiki lagi.....
"Setelah lebih dari 7 tahun pake Tokopedia, tapi makin kesini Tokopedia makin bikin illfeel. Makin banyak penjual yg jualan barang ngga sesuai dengan deskripsi, barang jelek masih aja dijual. Jadinya akhir2 ini berasa seperti kena tipu Mulu belanja lewat Tokopedia. & Setelah 3x kecewa dengan produk penjual yg kualitasnya buruk &/ngga sesuai deskripsi, udahlah, sepertinya ini saatnya coba e-commerce lain. Tokopedia sepertinya sudah ngga se-kredibel Tokopedia yg dulu. Bikin kapok lah sekarang. Bye!"
Perbaiki sistem nya.. pengguna yang sudah check out karena aplikasi memungkinkan (gabungan )pilihan diskon promo yang ditawarkan malah kena strike akun secara sepihak karena dianggap menyalahi S&K (M.9) tanpa kemungkinan arbitrase 😡👎 Edit Sudah chat dengan Toped Care 2x. Jawabannya hanya Toped berhak secara sepihak (menyatakan akun tidak sesuai S & K) dst... Akun tidak bisa dipulihkan hak memperoleh promo nya Mohon perbaiki aplikasinya seperti toko Oren sebelah.
Tokopedia sangat sangat mengecewakan... Saya pesan barang sampe 1 bulan lebih gak datang datang.. sedangkan di tanggal pengiriman nya tidak bergerak sama sekali.. setelah dikomplain ternyata barang hilang... Lalu untuk pengembalian uang nya sampe nunggu 1 bulan lagi
"Kenapa ya makin kesini Tokopedia makin ribet,ngasih promo diskon,dll namun saat digunakan transaksi kita dibatalkan otamatis sistem yang katanya melanggar syarat & ketentuan dan skrg ga bisa pake promo lagi alias diblock,lalu saya transaksi tanpa menggunakan promo stlh pembayaran berhasil kemudian dibatalkan lg oleh sistem,bbrp minggu kemudian coba akun suami untuk transaksi barang yang sama dan ternyata dibatalkan sistem lagi alasan indikasi penipuan. Sungguh aneh banget sistem Tokopedia."
"Aslinya bagus di tokped banyak promo, masalahnya promonya tidak bisa digunakan KRNA ""anda sudah melebihi batas promo"" menurut ku klo memang tidak bisa dipakai promonya mending g usah ditampilkan vocernya. Ngeselin bgt.. lagi, pesanan selalu di batalkan sistem.. masalah nya apa??? Kedetes KRNA banyak akun.. hellooo 1hp 1akun.. klo daerah alamat sini banyak yg menggunakan tokped dan promonya harusnya bersyukur org2 pada banyak yg belanja.. tidak seperti di sh""p"" meskipun mau pakek 10 hp pun aman2"
saran saya jangan belanja menggunakan kurir rekomendasi disini. pengirimannya sangat lama. jika kita komplain. alasannya selalu iya akan kami follow up tetapi tidak ada perkembangan...saran saya kalau memang free ongkir mending pakai salah satu kurir aja. jangan dari kurir satu ke kurir lain
"Beli barang harga mahal, dikirim barang palsu dan bahannya sangat jelek, tapi tidak bisa mengajukan pengembalian dana, padahal sudah jelas tertera di deskripsi product sama foto asli product yg diterima sangat berbeda, sudaj coba hubungi TOKOPEDIA CARE, tapi dana tetap diteruskan ke penjual, SANGAT KECEWA !!!!!!"
"Buruk dalam segala hal ! Tutup aja mending lah, pelit banget sama promo. Baru pertama kali belanja dapet promo, pas udah pembayaran lewat minimarket malah dibatalkan sistem. Mau ditarik saldo refundnya malah ribet, alhasil harus dibelanjakan lagi, jangankan dapet promo diskon, gratis ongkir juga ngga dapet jadinya. Penipuan banget kesannya"
"Nyesel banget belanja di Tokopedia, barang ga nyampe proses pengembalian dananya sampe berbulan-bulan, dari awal bulan Mei sampe sekarang dana saya belum dikembaliin.saya kecewa banget, masih mending toko orange, barang ga nyampe, cuma butuh waktu seminggu sejak pengajuan klaim dana udah dikembaliin. Harus hati-hati belanja di tokopedia"
"Untuk tokopedia menurut saya, sepemakaian saya sangat lama pengirimannya kadang dikemas bisa 2 hari belum nanyi diproses 2-3 hari belum nanti diinput ekspedisi dan baru dikirim, beda dengan aplikasi sebelah terkadang 3-4 hari sudah sampai paketnya"
"Ga jelas sudah bayar tapi malah di cancel otomatis karena tidak sesuai syarat dan ketentuan!! Klo emng g sesuai yh harusnya ada fitur otomatis g bisa di pake voucher nya, klo gini kan jadi ilang voucher walau duit kembali!! Bego bener dah!! System' nya!!"
Pengiriman semekin buruk. Pelayanan turun jauh makin buruk . Setelah di komplain tidak ada perubahan. Malah makin lelet pengiriman. Pokonya buruk poll masalah pengiriman nya. Belum juga di perbaiki sistem pengiriman. Mau tutup aplikasi ya??
"setelah d update k versi baru ternyata toped jadi TIDAK MENARIK LAGI. menu WISHLIST d buang d ganti menu BUAT KAMU yg gk penting bgt. trs menu FEED yg gk penting banget d pertahankan. sejak 2016 Toped menjadi satu-satunya aplikasi belanja yg ku pertahankan, ternyata skrg jadi aplikasi sampah seperti tokol lain."
"Tolong perbaiki save point nya Ket: saat ingin save point lokasi yang sudah benar dan keluar dari pengaturan alamat saat di cek kembali save point nya malah bergeser dan begitu seterusnya. Dan kalo bisa untuk save point nya bisa langsung pake lokasi saat ""kita"" berada layaknya apk oren jadi lebih mudah untuk mengetahui lokasi save point nya"
"transaksi sudah terverifikasi dengan promo menarik, tiba2 dibatalkan sistem dengan alasan yg tidak spesifik, kemudian transaksi diulang promo tidak bisa dipakai saya benar2 merasa tertipuuuuuu.."
"semakin lama sama saja seperti toko oren 👎 ... pencariannya jadi ga bisa spesifik sama yg dicari, hasil pencarian barang yang saya ingin semakin lama malah merambah ke tipe jenis yang lain-lain. padahal saya mengunggulkan tokopedia ini karena fitur pencariannya akurat dan spesifik dengan apa yang ditulis di kolom pencarian. tetapi sekarang sama saja membuat saya kurang nyaman memakainya.. tidak ada bedanya dengan sebelah"
"Sudah langganan lama , member platinum pernah , Semarang posisi gold, langganan plus juga, Pelayanan jasa pengiriman nya semakin kesini semakin buruk , ada dua kali pesanan kita komplain, lewat Tokopedia care sudah komunikasi tapi lama penanganan nya, Tidak ada pilihan pembatalan pesanan, posisi pesanan tidak ada update status terutama untuk expedisi GTL payah . seharusnya nya di kasih pilihan update or pembatalan kalau tertahan di titik penyortiran lebih dari 3 hari waktu yang ditawarkan."
